"[AG-409] BÁO CÁO CHI TIẾT TIẾN ĐỘ ĐƠN HÀNG NĂM 2025","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","42","","","","","",""
"STT","THÁNG","NGÀY ĐẶT HÀNG","CỬA HÀNG","","SỐ PO","","THÔNG TIN ĐƠN HÀNG","","","","","","","THỰC HIỆN ĐƠN HÀNG","","","TIẾN ĐỘ ĐƠN HÀNG","","","","","",""
"","","","","KHÁCH HÀNG","","LOẠI SẢN PHÂM","MÃ SẢN PHẨM","TÊN SẢN PHẨM","LOẠI VÀNG","QUY CÁCH 
(Độ dài/Đường kính)","SỐ LƯỢNG
(Sợi/Viên)","TỔNG TRỌNG LƯỢNG
(Gram)","DEADLINE ĐƠN HÀNG","NGÀY ĐỀ XUẤT NVL","NGÀY NHẬN NVL","NGÀY BẮT ĐẦU THỰC HIỆN","ĐÃ GIAO","TIẾN ĐỘ HOÀN THÀNH","TRẠNG THÁI ĐƠN HÀNG","NGÀY HOÀN TẤT","","",""
"[1]","[2]","[3]","[4]","","[5]","","[6]","[7]","[8]","[9]","[10]","[11]","[12]","[13]","[14]","[15]","","[16]","[17]","[18]","","",""
"426","THÁNG 08","18/08/2025","PKD SĨ","KIM THUY 2","[DHAG-25/08/09]","BB","GBY6-01","VÒNG BI 6.0-1 TÂNG","610Y","50-52","4","29.90","","","","","4","Đã giao đủ ngày 25/09/2025","HOÀN TẤT","","","",""
"427","THÁNG 08","27/08/2025","PKD SĨ","QUỐC BẢO","[DHAG-25/08/10]","DD","CY40CA4","DÂY CONG KHẾ 0.40MM","680Y","42","20","48.42","","","","","27","Đã giao 27 sợi ngày 23/09/2025","HOÀN TẤT","","","",""
"428","THÁNG 08","27/08/2025","PKD SĨ","QUỐC BẢO","[DHAG-25/08/10]","DD","CY40CA4","DÂY CONG KHẾ 0.40MM","680Y","43","20","49.56","","","","","27","Đã giao 27 sợi ngày 23/09/2025","HOÀN TẤT","","","",""
"429","THÁNG 08","27/08/2025","PKD SĨ","QUỐC BẢO","[DHAG-25/08/10]","DD","CY60CU","DÂY KHOEN LẬT 0.60MM","750Y","38","1","6.22","","","","","2","Đã giao đủ (DƯ 1)","HOÀN TẤT","","","",""
"430","THÁNG 08","27/08/2025","PKD SĨ","QUỐC BẢO","[DHAG-25/08/10]","DD","CY60CU","DÂY KHOEN LẬT 0.60MM","750Y","44","1","7.20","","","","","2","Đã giao đủ (DƯ 1)","HOÀN TẤT","","","",""
"431","THÁNG 08","28/08/2025","CH1","","[DHAG-25/08/11]","BB","BBY23.5","LẮC BI 2.0/3.5","750Y","23","1","8.00","","","","","1","Đã giao đủ","HOÀN TẤT","","","",""
"432","THÁNG 08","28/08/2025","CH1","","[DHAG-25/08/11]","BB","BBWY23.5","LẮC BI 2.0/3.5","750WY","23","1","8.00","","","","","1","Đã giao đủ","HOÀN TẤT","","","",""
"433","THÁNG 08","28/08/2025","PKD SĨ","KIM THANH","[DHAG-25/08/12]","DD","CY50FS","DÂY FRANCO VUÔNG 0.50","680Y","42","3","25.20","","","","","3","Đã giao dư ngày 30/09/2025","HOÀN TẤT","","","",""
"434","THÁNG 08","28/08/2025","PKD SĨ","KIM THANH","[DHAG-25/08/12]","DD","CY50FS","DÂY FRANCO VUÔNG 0.50","680Y","44","3","26.40","","","","","3","Đã giao dư ngày 30/09/2025","HOÀN TẤT","","","",""
"435","THÁNG 08","28/08/2025","PKD SĨ","KIM THANH","[DHAG-25/08/12]","DD","CY50FS","DÂY FRANCO VUÔNG 0.50","680Y","46","2","18.40","","","","","2","Đã giao dư ngày 30/09/2025","HOÀN TẤT","","","",""
"436","THÁNG 08","28/08/2025","PKD SĨ","KIM THANH","[DHAG-25/08/12]","DD","CY40FS","DÂY FRANCO VUÔNG 0.40","680Y","42","3","15.59","","","","","3","Đã giao dư ngày 30/09/2025","HOÀN TẤT","","","",""
"437","THÁNG 08","28/08/2025","PKD SĨ","KIM THANH","[DHAG-25/08/12]","DD","CY40FS","DÂY FRANCO VUÔNG 0.40","680Y","44","3","16.33","","","","","3","Đã giao dư ngày 30/09/2025","HOÀN TẤT","","","",""
"438","THÁNG 08","28/08/2025","PKD SĨ","KIM THANH","[DHAG-25/08/12]","DD","CY70CA4","DÂY CONG KHẾ 0.70","680Y","44","4","26.00","","","","","4","Đã giao dư ngày 30/09/2025","HOÀN TẤT","","","",""
"439","THÁNG 08","28/08/2025","PKD SĨ","KIM THANH","[DHAG-25/08/12]","DD","CY70CA4","DÂY CONG KHẾ 0.70","680Y","46","2","13.59","","","","","2","Đã giao dư ngày 30/09/2025","HOÀN TẤT","","","",""
"440","THÁNG 08","28/08/2025","PKD SĨ","KIM LAN","[DHAG-25/08/13]","BB","CBW4","DÂY BI 4.0MM 
KIỂU CHỮ S CONG","750W","45","3","61.38","","","","","","","CHƯA HOÀN TẤT","","","",""
"441","THÁNG 08","28/08/2025","PKD SĨ","KIM LAN","[DHAG-25/08/13]","BB","CBW2.54","DÂY BI 3MM/5.0MM
- BI 3MM CHỮ S CONG
- BI 5.0MM CHỮ S CONG","750W","45","3","64.65","","","","","","","CHƯA HOÀN TẤT","","","",""
"442","THÁNG 08","28/08/2025","PKD SĨ","KIM LAN","[DHAG-25/08/13]","BB","CBW2","DÂY BI 2.0MM
- BI 2.0MM KIỂU XOÁY","750W","45","2","20.77","","","","","","","CHƯA HOÀN TẤT","","","",""
"443","THÁNG 08","28/08/2025","PKD SĨ","KIM LAN","[DHAG-25/08/13]","BB","CBW3","DÂY BI 3.0MM
- BI 3.0MM KIỂU S CONG","750W","45","3","46.25","","","","","","Đang thực hiện ra dây","CHƯA HOÀN TẤT","","","",""
"444","THÁNG 08","28/08/2025","PKD SĨ","KIM LAN","[DHAG-25/08/13]","BB","BBW6","LẮC BI 6.0MM
- BI 6.0MM KIỂU S CONG","750W","16","3","26.91","","","","","","","CHƯA HOÀN TẤT","","","",""
"445","THÁNG 08","28/08/2025","PKD SĨ","KIM LAN","[DHAG-25/08/13]","BB","BBW46","LẮC BI 4.0MM/6.0MM
- BI 4.0MM CHỮ S CONG
- BI 6.0MM CHỮ S CONG","750W","16","4","28.66","","","","","","","CHƯA HOÀN TẤT","","","",""
"446","THÁNG 08","28/08/2025","PKD SĨ","KIM LAN","[DHAG-25/08/13]","BB","BBW3","LẮC BI 3.0MM
- BI 3.0MM KIỂU S CONG","750W","16","2","10.68","","","","","","Đang thực hiện ra dây","CHƯA HOÀN TẤT","","","",""
"447","THÁNG 09","09/09/2025","CH1","","[DHAG-25/09/01]","DD","CY80CA4","DÂY CONG KHẾ 0.80","23K","46","10","150.00","","","","","","","NGƯNG SX","","","",""
"448","THÁNG 09","24/09/2025","PSX L2","","[DHAG-25/09/02]","BB","BIX25750Y","BI XOÁY 2.5","750Y","","65","3.32","","","","","65","Đã giao đủ","HOÀN TẤT","","3.32","",""
"449","THÁNG 09","24/09/2025","PSX L2","","[DHAG-25/09/02]","DD","DDC25750Y","DÂY CHỮ CONG 0.25MM","750Y","30","1","0.79","","","","","1","Đã giao đủ","HOÀN TẤT","","0.79","",""
"450","THÁNG 09","24/09/2025","PKD SĨ","BẢO TÍN GOLD","[DHAG-25/09/03]","DD","BY35FS","LẮC FRANCO VUÔNG 0.35MM","610Y","16","5","7.15","","","","","","","CHƯA HOÀN TẤT","","","",""
"451","THÁNG 09","24/09/2025","PKD SĨ","BẢO TÍN GOLD","[DHAG-25/09/03]","DD","BY40FS","LẮC FRANCO VUÔNG 0.40MM","610Y","16","5","12.39","","","","","","","CHƯA HOÀN TẤT","","","",""
"452","THÁNG 09","24/09/2025","PKD SĨ","BẢO TÍN GOLD","[DHAG-25/09/03]","DD","BY50FS","LẮC FRANCO VUÔNG 0.50MM","610Y","16","5","17.70","","","","","","","CHƯA HOÀN TẤT","","","",""
"453","THÁNG 09","24/09/2025","PKD SĨ","BẢO TÍN GOLD","[DHAG-25/09/03]","DD","BY60FS","LẮC FRANCO VUÔNG 0.60MM","610Y","16-17","5","24.95","","","","","","","CHƯA HOÀN TẤT","","","",""
"454","THÁNG 09","24/09/2025","PKD SĨ","BẢO TÍN GOLD","[DHAG-25/09/03]","DD","BY70FS","LẮC FRANCO VUÔNG 0.70MM","610Y","16-17","5","29.51","","","","","","","CHƯA HOÀN TẤT","","","",""
"455","THÁNG 09","24/09/2025","PKD SĨ","BẢO TÍN GOLD","[DHAG-25/09/03]","BB","BBY34","LẮC BI 3.0/4.0","610Y","16","3","20.28","","","","","","","CHƯA HOÀN TẤT","","","",""
"456","THÁNG 09","24/09/2025","PKD SĨ","BẢO TÍN GOLD","[DHAG-25/09/03]","BB","BBY36","LẮC BI 3.0/6.0","610Y","16","3","24.39","","","","","","","CHƯA HOÀN TẤT","","","",""
"457","THÁNG 09","24/09/2025","PKD SĨ","QUỐC BẢO GOLD","[DHAG-25/09/04]","DD","CY30CA4","DÂY CONG KHẾ 0.30MM
 (DÂY MÉT)","680Y","2000","1","80.50","","","","","","","CHƯA HOÀN TẤT","","","",""
"458","THÁNG 09","25/09/2025","PSX L2","","[DHAG-25/09/05]","","PKKCC750W","KCN750: 18KY KHOA H.CHU NHAT 1.14GR, 2PCS  SIZE:4.0X10","750W","4.0x10","2","1.14","","","","","2","Đã giao đủ ngày 27/09/2025","HOÀN TẤT","","1.14","",""
"","THÁNG 09","30/09/2025","CH1","","[DHAG-25/09/05]","","PKKCC750W","KCN750: 18KW KHOA H.CHU NHAT 2.88GR, 5PCS  SIZE:4.0X10","750W","4.0x10","5","2.88","","","","","5","Đã giao đủ ngày 30/09/2025","HOÀN TẤT","","2.88","",""
"","THÁNG 09","30/09/2025","CH1","","[DHAG-25/09/05]","","PKKCC750Y","KCN750: 18KY KHOA H.CHU NHAT 2.85GR, 5PCS  SIZE:4.0X10","750Y","4.0x10","5","2.85","","","","","5","Đã giao đủ ngày 30/09/2025","HOÀN TẤT","","2.85","",""
"461","THÁNG 09","30/09/2025","PKD SĨ","Chào hàng","[DHAG-25/09/06]","DD","CY35CA4","DÂY CONG KHẾ 0.35MM","610Y","43-45","20","35.00","","","","","","","CHƯA HOÀN TẤT","","","",""
"462","THÁNG 09","30/09/2025","PKD SĨ","Chào hàng","[DHAG-25/09/06]","DD","CY40CA4","DÂY CONG KHẾ 0.40","610Y","44-46","20","48.40","","","","","","","CHƯA HOÀN TẤT","","","",""
"463","THÁNG 09","30/09/2025","PKD SĨ","Chào hàng","[DHAG-25/09/06]","DD","CY30SS","DÂY MÌ VUÔNG 0.30MM","610Y","42-44","10","30.80","","","","","","","CHƯA HOÀN TẤT","","","",""
"464","THÁNG 09","30/09/2025","PKD SĨ","Chào hàng","[DHAG-25/09/06]","DD","CY50HE","DÂY MI DẸP TRƠN 0.50MM","610Y","42-44","10","88.10","","","","","","","CHƯA HOÀN TẤT","","","",""
"465","THÁNG 09","30/09/2025","PKD SĨ","Chào hàng","[DHAG-25/09/06]","DD","CY60HE","DÂY MI DẸP TRƠN 0.60MM","610Y","42-44","5","73.90","","","","","","","CHƯA HOÀN TẤT","","","",""
"466","THÁNG 09","30/09/2025","PKD SĨ","Chào hàng","[DHAG-25/09/06]","DD","BY40FS","LẮC FRANCO VUÔNG 0.40MM","610Y","16","10","26.50","","","","","","","CHƯA HOÀN TẤT","","","",""
"467","THÁNG 09","30/09/2025","PKD SĨ","Chào hàng","[DHAG-25/09/06]","DD","BY50FS","LẮC FRANCO VUÔNG 0.50MM","610Y","16","10","35.40","","","","","","","CHƯA HOÀN TẤT","","","",""
"468","THÁNG 09","30/09/2025","PKD SĨ","Chào hàng","[DHAG-25/09/06]","DD","BY60FS","LẮC FRANCO VUÔNG 0.60MM","610Y","16-18","5","24.25","","","","","","","CHƯA HOÀN TẤT","","","",""
"469","THÁNG 09","30/09/2025","PKD SĨ","Chào hàng","[DHAG-25/09/06]","BB","GBY2-1","Vòng bi 2.0mm 1 tầng
- Bi 2.0 kiểu caro","610Y","50","10","52.00","","","","","","","CHƯA HOÀN TẤT","","","",""
"470","THÁNG 09","30/09/2025","PKD SĨ","Chào hàng","[DHAG-25/09/06]","BB","GBY6-1","Vòng bi 6.0mm 1 tầng
- Bi 6.0 kiểu chữ S","610Y","50-52","5","42.25","","","","","","","CHƯA HOÀN TẤT","","","",""
"471","THÁNG 09","30/09/2025","PKD SĨ","Chào hàng","[DHAG-25/09/06]","BB","GBY4-1","Vòng bi 4.0mm 1 tầng
- Bi 4.0 kiểu chữ S","610Y","50-52","5","32.20","","","","","","","CHƯA HOÀN TẤT","","","",""
"472","THÁNG 09","30/09/2025","PKD SĨ","Chào hàng","[DHAG-25/09/06]","BB","GBY8-1","Vòng bi 8.0mm 1 tầng
- Bi 8.0 kiểu chữ S","610Y","54-56","5","70.50","","","","","","","CHƯA HOÀN TẤT","","","",""
"473","THÁNG 09","30/09/2025","PKD SĨ","Chào hàng","[DHAG-25/09/06]","BB","GBY468-1","Vòng bi 4.0mm/6.0mm/8.0mm 1 tầng
- kiểu chữ S","610Y","50-52-54","5","44.25","","","","","","","CHƯA HOÀN TẤT","","","",""
"474","THÁNG 09","30/09/2025","PKD SĨ","Chào hàng","[DHAG-25/09/06]","BB","BBY24","Lắc bi 2.0mm/4.0mm
- kiểu caro","610Y","15-16","10","56.00","","","","","","","CHƯA HOÀN TẤT","","","",""
"475","THÁNG 09","30/09/2025","PKD SĨ","Chào hàng","[DHAG-25/09/06]","BB","BBY26","Lắc bi 2.0mm/6.0mm
- 2.0mm kiểu caro
- 6.0mm kiểu chữ S","610Y","15-16","5","36.00","","","","","","","CHƯA HOÀN TẤT","","","",""
"476","THÁNG 09","30/09/2025","PKD SĨ","Chào hàng","[DHAG-25/09/06]","BB","BBY46","Lắc bi 4.0mm/6.0mm
- kiểu chữ S","610Y","16","5","34.21","","","","","","","CHƯA HOÀN TẤT","","","",""
"477","THÁNG 09","30/09/2025","PKD SĨ","Chào hàng","[DHAG-25/09/06]","BB","BBY48","Lắc bi 4.0mm/8.0mm
- kiểu chữ S","610Y","16","5","56.00","","","","","","","CHƯA HOÀN TẤT","","","",""
"478","THÁNG 09","30/09/2025","PKD SĨ","Chào hàng","[DHAG-25/09/06]","BB","BBY468","Lắc bi 4.0mm/6.0mm/8.0mm
- kiểu chữ S","610Y","16","5","39.35","","","","","","","CHƯA HOÀN TẤT","","","",""
"479","THÁNG 09","30/09/2025","PKD SĨ","Chào hàng","[DHAG-25/09/06]","DD","CY35CA4","DÂY CONG KHẾ 0.35","680Y","","","","","","","","","","CHƯA HOÀN TẤT","","","",""
"480","THÁNG 09","30/09/2025","PKD SĨ","Chào hàng","[DHAG-25/09/06]","DD","CY40CA4","DÂY CONG KHẾ 0.40","680Y","","","","","","","","","","CHƯA HOÀN TẤT","","","",""
"481","THÁNG 09","30/09/2025","PKD SĨ","Chào hàng","[DHAG-25/09/06]","DD","CY50CA4","DÂY CONG KHẾ 0.50","680Y","","","","","","","","","","CHƯA HOÀN TẤT","","","",""
"482","THÁNG 09","30/09/2025","PKD SĨ","Chào hàng","[DHAG-25/09/06]","DD","CW60HE","DÂY MÌ DẸP TRƠN 0.60","750W","46","5","84.00","","","","","","","CHƯA HOÀN TẤT","","","",""
"483","THÁNG 09","30/09/2025","PKD SĨ","Chào hàng","[DHAG-25/09/06]","DD","CW35CA4","DÂY CONG KHẾ 0.35","750W","42-44","20","35.00","","","","","","","CHƯA HOÀN TẤT","","","",""
"484","THÁNG 09","30/09/2025","PKD SĨ","Chào hàng","[DHAG-25/09/06]","DD","CW40CA4","DÂY CONG KHẾ 0.40","750W","44-46","10","24.20","","","","","","","CHƯA HOÀN TẤT","","","",""
"485","THÁNG 09","30/09/2025","PKD SĨ","Chào hàng","[DHAG-25/09/06]","BB","GBW46-1","Vòng bi 4.0mm/6.0mm 1 tầng
Kiểu chữ S","750W","50-52","5","38.00","","","","","","","CHƯA HOÀN TẤT","","","",""
"486","THÁNG 09","30/09/2025","PKD SĨ","Chào hàng","[DHAG-25/09/06]","BB","GBW48-1","Vòng bi 4.0mm/8.0mm
- Bi 4.0 kiểu caro
- Bi 8.0 kiểu chữ S","750W","50-52","5","60.50","","","","","","","CHƯA HOÀN TẤT","","","",""
"487","THÁNG 09","30/09/2025","PKD SĨ","Chào hàng","[DHAG-25/09/06]","BB","GBW4","Vòng bi 4.0mm 1 tầng
kiểu chữ S","750W","50-52-54","5","32.20","","","","","","","CHƯA HOÀN TẤT","","","",""
"488","THÁNG 09","30/09/2025","PKD SĨ","Chào hàng","[DHAG-25/09/06]","BB","BBW26","Lắc bi 2.0mm/6.0mm
- Bi 2.0 kiểu caro
- Bi 6.0 kiểu chữ S","750W","16","5","36.00","","","","","","","CHƯA HOÀN TẤT","","","",""
"489","THÁNG 09","30/09/2025","PKD SĨ","Chào hàng","[DHAG-25/09/06]","BB","BBW46","Lắc bi 4.0mm/6.0mm
kiểu chữ S","750W","16","5","34.21","","","","","","","CHƯA HOÀN TẤT","","","",""
"490","THÁNG 09","30/09/2025","PKD SĨ","Chào hàng","[DHAG-25/09/06]","BB","BBW48","Lắc bi 4.0mm/8.0mm
- Bi 4.0mm kiểu caro
- Bi 8.0mm chữ S","750W","16-17","5","56.00","","","","","","","CHƯA HOÀN TẤT","","","",""
"491","THÁNG 09","30/09/2025","PKD SĨ","Chào hàng","[DHAG-25/09/06]","BB","CBW2","Dây bi 2.0mm
Kiểu caro","750W","45","5","51.95","","","","","","","CHƯA HOÀN TẤT","","","",""
"492","THÁNG 09","30/09/2025","PKD SĨ","Chào hàng","[DHAG-25/09/06]","BB","CBW24","Dây bi 2.0mm/4.0mm
- Bi 2.0mm kiểu caro
- Bi 4.0mm kiểu chữ S","750W","45","5","75.00","","","","","","","CHƯA HOÀN TẤT","","","",""
"493","THÁNG 10","02/10/2025","PKD SĨ","KIM LONG","[DHAG-25/10/01]","DD","CY30HT1","DÂY MÌ DẸP XOẮN 0.30MM","610Y","43-45","10","35.70","","","","","","","CHƯA HOÀN TẤT","","","",""
"494","THÁNG 10","02/10/2025","PKD SĨ","KIM LONG","[DHAG-25/10/01]","DD","CY40HT1","DÂY MÌ DẸP XOẮN 0.40MM","610Y","45-47","10","70.23","","","","","","","CHƯA HOÀN TẤT","","","",""
"495","THÁNG 10","02/10/2025","PKD SĨ","KIM LONG","[DHAG-25/10/01]","DD","CY50HT1","DÂY MÌ DẸP XOẮN 0.50MM","610Y","48-50","10","87.68","","","","","","","CHƯA HOÀN TẤT","","","",""
"496","THÁNG 10","02/10/2025","PKD SĨ","KIM LONG","[DHAG-25/10/01]","DD","CY60HT1","DÂY MÌ DẸP XOẮN 0.60MM","610Y","48-50","10","139.44","","","","","","","CHƯA HOÀN TẤT","","","",""
"497","THÁNG 10","02/10/2025","PKD SĨ","KIM LONG","[DHAG-25/10/01]","BB","BBY2.5","Lắc bi 2.5 kiểu xoáy","610Y","16","5","20.85","","","","","","","CHƯA HOÀN TẤT","","","",""
"498","THÁNG 10","02/10/2025","PKD SĨ","KIM LONG","[DHAG-25/10/01]","BB","BBY2.5","Lắc bi 2.5 kiểu kim cương","610Y","16","5","20.85","","","","","","","CHƯA HOÀN TẤT","","","",""
"499","THÁNG 10","02/10/2025","PKD SĨ","KIM LONG","[DHAG-25/10/01]","BB","BBY4","Lắc bi 4.0 kiểu chữ S","610Y","15-16","10","58.96","","","","","","","CHƯA HOÀN TẤT","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
